article,category
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,"['History', 'British_History', 'British_History_1500_and_before_including_Roman_Britain']"
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,"['People', 'Historical_figures']"
%C3%85land,['Countries']
%C3%85land,"['Geography', 'European_Geography', 'European_Countries']"
%C3%89douard_Manet,"['People', 'Artists']"
%C3%89ire,['Countries']
%C3%89ire,"['Geography', 'European_Geography', 'European_Countries']"
%C3%93engus_I_of_the_Picts,"['History', 'British_History', 'British_History_1500_and_before_including_Roman_Britain']"
%C3%93engus_I_of_the_Picts,"['People', 'Historical_figures']"
%E2%82%AC2_commemorative_coins,"['Business_Studies', 'Currency']"
10th_century,"['History', 'General_history']"
11th_century,"['History', 'General_history']"
12th_century,"['History', 'General_history']"
13th_century,"['History', 'General_history']"
14th_century,"['History', 'General_history']"
15th_Marine_Expeditionary_Unit,"['History', 'Military_History_and_War']"
15th_century,"['History', 'General_history']"
16_Cygni,"['Science', 'Physics', 'Space_Astronomy']"
16_Cygni_Bb,"['Science', 'Physics', 'Space_Astronomy']"
16th_century,"['History', 'General_history']"
1755_Lisbon_earthquake,"['History', 'General_history']"
17th_century,"['History', 'General_history']"
1896_Summer_Olympics,"['Everyday_life', 'Sports_events']"
18th_century,"['History', 'General_history']"
1928_Okeechobee_Hurricane,"['Geography', 'Storms']"
1973_oil_crisis,"['History', 'Recent_History']"
1980_eruption_of_Mount_St._Helens,"['Geography', 'Geology_and_geophysics']"
1997_Pacific_hurricane_season,"['Geography', 'Natural_Disasters']"
19th_century,"['History', 'General_history']"
1_Ceres,"['Science', 'Physics', 'Space_Astronomy']"
1st_century,"['History', 'General_history']"
1st_century_BC,"['History', 'General_history']"
2-6-0,"['Design_and_Technology', 'Railway_transport']"
2-8-0,"['Design_and_Technology', 'Railway_transport']"
2003_Atlantic_hurricane_season,"['Geography', 'Natural_Disasters']"
2004_Atlantic_hurricane_season,"['Geography', 'Natural_Disasters']"
2004_Indian_Ocean_earthquake,"['Geography', 'Geology_and_geophysics']"
2005_Atlantic_hurricane_season,"['Geography', 'Storms']"
2005_Hertfordshire_Oil_Storage_Terminal_fire,"['History', 'Recent_History']"
2005_Kashmir_earthquake,"['Geography', 'Natural_Disasters']"
2005_Lake_Tanganyika_earthquake,"['Geography', 'Natural_Disasters']"
2005_Sumatra_earthquake,"['Geography', 'Natural_Disasters']"
20th_century,"['History', 'General_history']"
21st_century,"['History', 'General_history']"
2nd_century,"['History', 'General_history']"
3_Juno,"['Science', 'Physics', 'Space_Astronomy']"
3rd_century,"['History', 'General_history']"
4-2-0,"['Design_and_Technology', 'Railway_transport']"
4-4-0,"['Design_and_Technology', 'Railway_transport']"
4-6-0,"['Design_and_Technology', 'Railway_transport']"
47_Ursae_Majoris,"['Science', 'Physics', 'Space_Astronomy']"
47_Ursae_Majoris_b,"['Science', 'Physics', 'Space_Astronomy']"
47_Ursae_Majoris_c,"['Science', 'Physics', 'Space_Astronomy']"
4_Vesta,"['Science', 'Physics', 'Space_Astronomy']"
4th_century,"['History', 'General_history']"
55_Cancri,"['Science', 'Physics', 'Space_Astronomy']"
55_Cancri_b,"['Science', 'Physics', 'Space_Astronomy']"
55_Cancri_c,"['Science', 'Physics', 'Space_Astronomy']"
55_Cancri_d,"['Science', 'Physics', 'Space_Astronomy']"
55_Cancri_e,"['Science', 'Physics', 'Space_Astronomy']"
5th_century,"['History', 'General_history']"
6-2-0,"['Design_and_Technology', 'Railway_transport']"
6th_century,"['History', 'General_history']"
7th_century,"['History', 'General_history']"
8th_century,"['History', 'General_history']"
90377_Sedna,"['Science', 'Physics', 'Space_Astronomy']"
9th_century,"['History', 'General_history']"
A._E._J._Collins,"['People', 'Sports_and_games_people']"
ABO_blood_group_system,"['Science', 'Biology', 'Health_and_medicine']"
AC_DC,"['Music', 'Performers_and_composers']"
AIDS,"['Science', 'Biology', 'Health_and_medicine']"
AK-47,"['History', 'Military_History_and_War']"
ALCO_FA,"['Design_and_Technology', 'Railway_transport']"
ASCII,"['IT', 'Computing_hardware_and_infrastructure']"
AT%26T,"['Business_Studies', 'Companies']"
ATLAS_experiment,"['Science', 'Physics', 'General_Physics']"
A_Christmas_Carol,"['Language_and_literature', 'Novels']"
A_Tale_of_a_Tub,"['Language_and_literature', 'Novels']"
A_Wrinkle_in_Time,"['Language_and_literature', 'Novels']"
A_cappella,"['Music', 'Musical_genres_styles_eras_and_events']"
Aachen,"['Geography', 'European_Geography']"
Aardvark,"['Science', 'Biology', 'Mammals']"
Aarhus,"['Geography', 'European_Geography']"
Abac%C3%A1,"['Science', 'Biology', 'Plants']"
Abacus,"['Everyday_life', 'Everyday_life']"
Abacus,['Mathematics']
Abadan,"['Geography', 'Geography_of_the_Middle_East']"
Abbadid,"['History', 'Ancient_History_Classical_History_and_Mythology']"
Abbas_I_of_Persia,"['People', 'Historical_figures']"
Abbasid,"['History', 'Ancient_History_Classical_History_and_Mythology']"
Abbey,"['History', 'British_History', 'British_History_15001750']"
Abbey,"['Religion', 'Religious_movements_traditions_and_organizations']"
Abbey_Theatre,"['Language_and_literature', 'Theatre']"
Abbot,"['History', 'British_History', 'British_History_15001750']"
Abbot,"['Religion', 'Religious_movements_traditions_and_organizations']"
Abel_Tasman,"['People', 'Geographers_and_explorers']"
Aberdeen,"['Geography', 'Geography_of_Great_Britain']"
Aberration_of_light,"['Science', 'Physics', 'General_Physics']"
Aberystwyth,"['Geography', 'Geography_of_Great_Britain']"
Abhidhamma_Pitaka,"['Religion', 'Religious_texts']"
Abidjan,"['Geography', 'African_Geography']"
Abkhazia,"['Geography', 'Geography_of_Asia', 'Asian_Countries']"
Abkhazia,['Countries']
Able_Archer_83,"['History', 'Military_History_and_War']"
Abraham_Goldfaden,"['People', 'Writers_and_critics']"
Abraham_Lincoln,"['People', 'USA_Presidents']"
Absinthe,"['Everyday_life', 'Drink']"
Absolute_zero,"['Science', 'Physics', 'General_Physics']"
Abstract_art,"['Art', 'Art']"
Abu_Dhabi,['Countries']
Abu_Dhabi,"['Geography', 'Geography_of_the_Middle_East', 'Middle_Eastern_Countries']"
Abuja,"['Geography', 'African_Geography']"
Acceleration,"['Science', 'Physics', 'General_Physics']"
Accountancy,"['Business_Studies', 'Business']"
Accra,"['Geography', 'African_Geography']"
Acetic_acid,"['Science', 'Chemistry', 'Chemical_compounds']"
Acetone,"['Science', 'Chemistry', 'Chemical_compounds']"
Achilles,"['History', 'Ancient_History_Classical_History_and_Mythology']"
Achilles_tendon,"['Science', 'Biology', 'Health_and_medicine']"
Acid_rain,"['Citizenship', 'Environment']"
Acid_rain,"['Geography', 'General_Geography']"
Acorn_Computers,"['Business_Studies', 'Companies']"
Acorn_Computers,"['IT', 'Computing_hardware_and_infrastructure']"
Actinium,"['Science', 'Chemistry', 'Chemical_elements']"
Action_potential,"['Science', 'Biology', 'General_Biology']"
Actor,"['Language_and_literature', 'Theatre']"
Acts_of_Union_1707,"['History', 'British_History', 'British_History_15001750']"
Actuary,"['Business_Studies', 'Economics']"
Adam_Smith,"['Business_Studies', 'Economics']"
Adam_Smith,"['People', 'Historical_figures']"
Addis_Ababa,"['Geography', 'African_Geography']"
Adelaide,"['Geography', 'Geography_of_Oceania_Australasia']"
Adenosine_triphosphate,"['Science', 'Chemistry', 'Chemical_compounds']"
Adi_Shankara,"['People', 'Religious_figures_and_leaders']"
Adolf_Hitler,"['People', 'Political_People']"
Adriaen_van_der_Donck,"['People', 'Historical_figures']"
Advertising,"['Business_Studies', 'Business']"
Advertising,"['Everyday_life', 'Everyday_life']"
Aesthetics,"['Science', 'Biology', 'Health_and_medicine']"
Afghan_Hound,"['Science', 'Biology', 'Mammals']"
Afghanistan,"['Geography', 'Geography_of_Asia', 'Asian_Countries']"
Afghanistan,['Countries']
Africa,"['Geography', 'African_Geography']"
African_American_literature,"['Language_and_literature', 'Literature_types']"
African_Black_Oystercatcher,"['Science', 'Biology', 'Birds']"
African_Brush-tailed_Porcupine,"['Science', 'Biology', 'Mammals']"
African_Buffalo,"['Science', 'Biology', 'Mammals']"
African_Darter,"['Science', 'Biology', 'Birds']"
African_Great_Lakes,"['Geography', 'African_Geography']"
African_Grey_Hornbill,"['Science', 'Biology', 'Birds']"
African_Grey_Parrot,"['Science', 'Biology', 'Birds']"
African_Jacana,"['Science', 'Biology', 'Birds']"
African_Penguin,"['Science', 'Biology', 'Birds']"
African_Union,"['Citizenship', 'Politics_and_government']"
African_Wild_Dog,"['Science', 'Biology', 'Mammals']"
African_clawed_frog,"['Science', 'Biology', 'Insects_Reptiles_and_Fish']"
African_dwarf_frog,"['Science', 'Biology', 'Insects_Reptiles_and_Fish']"
African_slave_trade,"['History', 'General_history']"
Afrikaans,"['Language_and_literature', 'Languages']"
Agamemnon,"['People', 'Historical_figures']"
Age_of_Enlightenment,"['Religion', 'Philosophy']"
Aggregator,"['IT', 'Websites_and_the_Internet']"
Agnosticism,"['Religion', 'Philosophy']"
Agriculture,"['Everyday_life', 'Food_and_agriculture']"
