src,dst,crowd_score,players_score
Atlantic_Ocean,Ocean,1,1.0
Africa,Zebra,2,3.41123595505618
Europe,Adolf_Hitler,2,2.264367816091954
Europe,Viking,2,2.4361370716510904
United_States,George_W._Bush,1,1.1805555555555556
United_States,Adolf_Hitler,2,2.4727272727272727
United_States,Zebra,4,5.873134328358209
United_States,Bean,4,4.462962962962963
United_States,Telephone,2,4.46875
Science,Telephone,3,4.7894736842105265
Sun,Bean,4,5.857142857142857
Christianity,Bible,1,1.0196078431372548
Christianity,God,2,2.231707317073171
Christianity,Jesus,1,1.0
India,Zebra,2,3.740566037735849
France,Zebra,3,5.381443298969073
World_War_II,Adolf_Hitler,1,1.0114942528735633
World_War_II,The_Holocaust,1,1.146067415730337
Ancient_Egypt,Bean,3,4.640776699029126
Sweden,Viking,1,1.5212765957446808
Brazil,Zebra,3,4.734375
Mammal,Zebra,1,1.3927125506072875
Mammal,Telephone,3,3.6
Bird,Great_white_shark,4,4.478260869565218
Germany,Adolf_Hitler,1,1.2227722772277227
Germany,Viking,2,3.1226415094339623
Earth,Viking,3,4.044386422976501
Animal,Zebra,2,2.618374558303887
Animal,Telephone,3,4.107692307692307
Fish,Great_white_shark,3,3.2339181286549707
Computer,Microsoft,2,2.0632911392405062
Computer,Telephone,1,1.5
Internet,Google,2,2.55
Internet,Telephone,2,3.665071770334928
Microsoft_Windows,Microsoft,1,1.0
World_Wide_Web,Google,1,1.2745098039215685
World_Wide_Web,Telephone,1,1.2463768115942029
Communication,Telephone,1,1.0356472795497185
Computer_science,Telephone,3,4.072052401746725
Technology,Telephone,2,3.3485714285714288
Iceland,Viking,1,1.183673469387755
North_Sea,Viking,2,2.4901960784313726
United_Kingdom,Zebra,2,4.107692307692307
Norse_mythology,Viking,2,2.479381443298969
Language,Telephone,2,2.2314814814814814
Whale_shark,Great_white_shark,2,2.164705882352941
Shark,Great_white_shark,1,1.103896103896104
Mythology,Viking,3,3.5945945945945947
Roman_mythology,Viking,4,4.975609756097561
Ancient_Rome,Viking,3,4.785714285714286
Lion,Zebra,1,1.025695931477516
North_Africa,Zebra,3,4.379310344827586
Kenya,Zebra,2,3.122448979591837
Middle_Ages,Viking,1,1.4655172413793103
Mexico,Bean,4,4.836842105263158
Fruit,Banana,1,1.0
Fruit,Bean,1,1.3421052631578947
Vegetable,Bean,1,1.0
Plant,Wood,2,1.8985507246376812
Plant,Bean,2,3.1
Maize,Bean,1,1.7411764705882353
Solar_System,Mars,1,1.0
Solar_System,Viking,4,5.65
Human,Telephone,2,3.272357723577236
Photosynthesis,Bean,3,4.132352941176471
Brain,Telephone,4,5.436241610738255
Information,Telephone,2,2.1315789473684212
Agriculture,Bean,3,3.269503546099291
People%27s_Republic_of_China,China,1,1.0178571428571428
Food,Bean,3,4.226666666666667
Cereal,Bean,2,2.7362637362637363
Jesus,God,1,1.088235294117647
South_Africa,Zebra,2,3.4404761904761907
Electronics,Telephone,1,1.0810810810810811
Radio,Telephone,3,3.640625
Electricity,Telephone,2,2.09375
Cell_%28biology%29,Telephone,3,5.410526315789474
Seed,Bean,1,1.0867208672086721
Herbivore,Zebra,3,2.9921875
Eye,Telephone,3,4.935483870967742
Tree,Wood,1,1.0
Television,Telephone,2,2.6865671641791047
Theatre,Zebra,3,6.027624309392265
Netherlands,Viking,2,3.230769230769231
Norway,Viking,1,1.0857142857142856
Asteroid,Viking,4,5.897411313518696
Soybean,Bean,2,2.859375
Nazi_Germany,Adolf_Hitler,1,1.018181818181818
Pyramid,Bean,5,6.1526479750778815
Pea,Bean,1,1.0267857142857142
Jupiter,Viking,4,6.09375
Denmark,Viking,1,1.2748538011695907
