source,target,count,shortest_path,links_coords,normalized_links_coords
Brain,Telephone,1004,"['Brain', 'Biology', '19th_century', 'Telephone']","[[(349, 421)], [(84, 1213)], [(38, 6883)]]","[[(0.18465608465608466, 0.11229661242998133)], [(0.044444444444444446, 0.4033920851346857)], [(0.020105820105820106, 0.8864133934320669)]]"
Pyramid,Bean,944,"['Pyramid', 'California', 'Fruit', 'Bean']","[[(711, 1506)], [(801, 2526)], [(124, 868)]]","[[(0.3761904761904762, 0.6946494464944649)], [(0.4238095238095238, 0.487927371064323)], [(0.0656084656084656, 0.4155098133078028)]]"
Theatre,Zebra,872,"['Theatre', 'India', 'Extinction', 'Zebra']","[[(269, 2214), (224, 2255)], [(144, 2198)], [(433, 578)]]","[[(0.14232804232804233, 0.9349662162162162), (0.11851851851851852, 0.9522804054054054)], [(0.0761904761904762, 0.5710574175110418)], [(0.2291005291005291, 0.2557522123893805)]]"
Asteroid,Viking,727,"['Asteroid', '1_Ceres', 'Paris', 'Viking']","[[(217, 157), (1801, 435), (1230, 325), (985, 393), (173, 1190), (44, 2419), (414, 2839)], [(1496, 384)], [(429, 718)]]","[[(0.11481481481481481, 0.04804161566707466), (0.9529100529100529, 0.13310893512851898), (0.6507936507936508, 0.09944920440636475), (0.5211640211640212, 0.12025703794369645), (0.09153439153439154, 0.36413708690330476), (0.02328042328042328, 0.7402080783353733), (0.21904761904761905, 0.8687270501835985)], [(0.7915343915343915, 0.16856892010535557)], [(0.22698412698412698, 0.07779824466356051)]]"
Batman,Wood,75,"['Batman', 'Chemistry', 'Fire', 'Wood']","[[(1258, 1617)], [(405, 743)], [(448, 1907)]]","[[(0.6656084656084656, 0.473915592028136)], [(0.21428571428571427, 0.21511291256514187)], [(0.23703703703703705, 0.8434321096859797)]]"
Batman,Banana,56,"['Batman', 'Scotland', 'Atlantic_Ocean', 'Argentina', 'Banana']","[[(1163, 265)], [(71, 94), (1680, 2308), (726, 2616)], [(399, 1803), (1332, 1943), (1358, 1963), (1358, 1983)], [(421, 4525)]]","[[(0.6153439153439153, 0.07766705744431418)], [(0.03756613756613757, 0.016815742397137744), (0.8888888888888888, 0.41288014311270127), (0.38412698412698415, 0.4679785330948122)], [(0.2111111111111111, 0.5573415765069551), (0.7047619047619048, 0.6006182380216384), (0.7185185185185186, 0.6068006182380217), (0.7185185185185186, 0.612982998454405)], [(0.22275132275132276, 0.48061603823685606)]]"
Aircraft,Google,43,"['Aircraft', 'Airbus_A380', 'Hamburg', 'Google']","[[(1541, 320), (1547, 1213)], [(397, 694), (590, 2561)], [(836, 1797)]]","[[(0.8153439153439154, 0.15912481352560914), (0.8185185185185185, 0.6031824962705122)], [(0.21005291005291005, 0.1293328363771897), (0.31216931216931215, 0.4772642564293701)], [(0.44232804232804235, 0.16808530539706296)]]"
Beer,Sun,43,"['Beer', 'Water', 'Sun']","[[(208, 713)], [(1476, 1553)]]","[[(0.11005291005291006, 0.19385535617183253)], [(0.780952380952381, 0.25848868175765644)]]"
Cat,Computer,43,"['Cat', 'Evolution', 'Computer']","[[(812, 2573), (71, 2690)], [(618, 4155)]]","[[(0.42962962962962964, 0.3265642848077167), (0.03756613756613757, 0.3414138850107882)], [(0.326984126984127, 0.6271698113207547)]]"
Cat,Microsoft,42,"['Cat', 'Genealogy', 'Internet', 'Microsoft']","[[(824, 294)], [(481, 810)], [(555, 1694)]]","[[(0.43597883597883597, 0.03731437999746161)], [(0.2544973544973545, 0.20908621579762518)], [(0.29365079365079366, 0.44508670520231214)]]"
Computer,Fruit,36,"['Computer', 'Computer_and_video_games', 'Pac-Man', 'Fruit']","[[(128, 6004)], [(463, 2107)], [(1386, 338)]]","[[(0.06772486772486773, 0.9048982667671439)], [(0.24497354497354498, 0.7169105137801973)], [(0.7333333333333333, 0.07541276215975011)]]"
Batman,Penguin,36,"['Batman', 'Scotland', 'Atlantic_Ocean', 'Antarctica', 'Penguin']","[[(1163, 265)], [(71, 94), (1680, 2308), (726, 2616)], [(82, 138)], [(1369, 113), (642, 3416)]]","[[(0.6153439153439153, 0.07766705744431418)], [(0.03756613756613757, 0.016815742397137744), (0.8888888888888888, 0.41288014311270127), (0.38412698412698415, 0.4679785330948122)], [(0.04338624338624339, 0.04265842349304482)], [(0.7243386243386244, 0.022261623325453114), (0.3396825396825397, 0.6729708431836091)]]"
Dog,Telephone,36,"['Dog', 'Africa', 'Atlantic_Ocean', 'Telephone']","[[(455, 3844)], [(928, 147), (1476, 2299), (1537, 2524)], [(159, 1217)]]","[[(0.24074074074074073, 0.9343704423918328)], [(0.491005291005291, 0.020937188434695914), (0.780952380952381, 0.32744623273038026), (0.8132275132275132, 0.3594929497222618)], [(0.08412698412698413, 0.37619783616692426)]]"
