hashedIpAddress,timestamp,durationInSec,clean_path,source,target,links_coords,normalized_links_coords
20418ff4797f96be,1229188046,139,"['14th_century', 'Time', 'Isaac_Newton', 'Light', 'Color', 'Rainbow']",14th_century,Rainbow,"[[(247, 93)], [(1156, 76), (19, 1732)], [(1316, 139), (541, 993)], [(358, 140), (368, 282), (38, 1965), (19, 3017)], [(162, 386)]]","[[(0.1306878306878307, 0.058161350844277676)], [(0.6116402116402117, 0.022313564298297124), (0.010052910052910053, 0.5085143863769818)], [(0.6962962962962963, 0.03919909757473209), (0.28624338624338624, 0.2800338409475465)], [(0.18941798941798943, 0.03330161750713606), (0.19470899470899472, 0.06707897240723121), (0.020105820105820106, 0.4674119885823026), (0.010052910052910053, 0.7176498572787822)], [(0.08571428571428572, 0.11133544851456591)]]"
08888b1b428dd90e,1232241510,74,"['14th_century', 'Time', 'Light', 'Rainbow']",14th_century,Rainbow,"[[(247, 93)], [(848, 2752)], [(754, 754)]]","[[(0.1306878306878307, 0.058161350844277676)], [(0.4486772486772487, 0.8079859072225485)], [(0.39894179894179893, 0.17935299714557565)]]"
08888b1b428dd90e,1232241601,167,"['14th_century', '15th_century', 'Plato', 'Nature', 'Ultraviolet', 'Color', 'Rainbow']",14th_century,Rainbow,"[[(1732, 94)], [(259, 1130)], [(1366, 718)], [(273, 794)], [(456, 135)], [(162, 386)]]","[[(0.9164021164021164, 0.058786741713570984)], [(0.13703703703703704, 0.470637234485631)], [(0.7227513227513227, 0.27435995414596864)], [(0.14444444444444443, 0.21570225482205924)], [(0.24126984126984127, 0.04591836734693878)], [(0.08571428571428572, 0.11133544851456591)]]"
4cb0068c36658716,1248654953,253,"['14th_century', 'Time', 'Science', 'Nature', 'Weather', 'Sun', 'Earth%27s_atmosphere', 'Ultraviolet', 'Color', 'Light', 'Rainbow']",14th_century,Rainbow,"[[(247, 93)], [(237, 337)], [(322, 646)], [(133, 183)], [(1495, 154)], [], [], [(456, 135)], [(271, 119)], [(754, 754)]]","[[(0.1306878306878307, 0.058161350844277676)], [(0.1253968253968254, 0.0989430416911333)], [(0.17037037037037037, 0.2271448663853727)], [(0.07037037037037037, 0.04971475142624287)], [(0.791005291005291, 0.09571162212554382)], [], [], [(0.24126984126984127, 0.04591836734693878)], [(0.1433862433862434, 0.03432362272858379)], [(0.39894179894179893, 0.17935299714557565)]]"
1082b6b8501a04b1,1248791776,218,"['14th_century', 'Christianity', 'Bible', 'God', 'Nature', 'Earth%27s_atmosphere', 'Ultraviolet', 'Optical_fiber', 'Light', 'Rainbow']",14th_century,Rainbow,"[[(635, 376)], [(968, 426), (153, 1306)], [(590, 3633)], [(1645, 696)], [], [], [(1808, 2551)], [(356, 75)], [(754, 754)]]","[[(0.335978835978836, 0.23514696685428393)], [(0.5121693121693122, 0.09218783813027483), (0.08095238095238096, 0.2826228089158191)], [(0.31216931216931215, 0.6683222958057395)], [(0.8703703703703703, 0.2237942122186495)], [], [], [(0.9566137566137566, 0.867687074829932)], [(0.18835978835978837, 0.026297335203366058)], [(0.39894179894179893, 0.17935299714557565)]]"
390ae528683f78ab,1250727252,66,"['14th_century', 'Time', 'Astronomy', 'Light', 'Rainbow']",14th_century,Rainbow,"[[(247, 93)], [(984, 337)], [(1225, 1060)], [(754, 754)]]","[[(0.1306878306878307, 0.058161350844277676)], [(0.5206349206349207, 0.0989430416911333)], [(0.6481481481481481, 0.28124170867604137)], [(0.39894179894179893, 0.17935299714557565)]]"
0d57c8c57d75e2f5,1283956474,391,"['14th_century', 'Renaissance', 'Empiricism', 'Nature', 'Weather', 'Sun', 'Isaac_Newton', 'Rainbow']",14th_century,Rainbow,"[[(1117, 519), (133, 600)], [(444, 1509)], [(397, 2325)], [(133, 183)], [(1495, 154)], [(1387, 3497)], [(759, 1213)]]","[[(0.591005291005291, 0.324577861163227), (0.07037037037037037, 0.37523452157598497)], [(0.23492063492063492, 0.46189164370982555)], [(0.21005291005291005, 0.8956086286594761)], [(0.07037037037037037, 0.04971475142624287)], [(0.791005291005291, 0.09571162212554382)], [(0.7338624338624339, 0.7658782303985984)], [(0.4015873015873016, 0.3420755781161873)]]"
0d57c8c57d75e2f5,1290753904,432,"['14th_century', 'Renaissance', 'Leonardo_da_Vinci', 'Water', 'Rainbow']",14th_century,Rainbow,"[[(1117, 519), (133, 600)], [(1695, 854), (815, 971), (98, 1295), (533, 1490), (131, 1836)], [(952, 157), (1524, 1734)], [(19, 1330)]]","[[(0.591005291005291, 0.324577861163227), (0.07037037037037037, 0.37523452157598497)], [(0.8968253968253969, 0.26140189776553413), (0.4312169312169312, 0.29721456994184264), (0.05185185185185185, 0.3963881236608509), (0.282010582010582, 0.45607591062136515), (0.06931216931216931, 0.5619834710743802)], [(0.5037037037037037, 0.055871886120996445), (0.8063492063492064, 0.6170818505338078)], [(0.010052910052910053, 0.22137150466045272)]]"
0d57c8c57d75e2f5,1290754816,43,"['14th_century', 'Renaissance', 'Leonardo_da_Vinci', 'Water', 'Rainbow']",14th_century,Rainbow,"[[(1117, 519), (133, 600)], [(1695, 854), (815, 971), (98, 1295), (533, 1490), (131, 1836)], [(952, 157), (1524, 1734)], [(19, 1330)]]","[[(0.591005291005291, 0.324577861163227), (0.07037037037037037, 0.37523452157598497)], [(0.8968253968253969, 0.26140189776553413), (0.4312169312169312, 0.29721456994184264), (0.05185185185185185, 0.3963881236608509), (0.282010582010582, 0.45607591062136515), (0.06931216931216931, 0.5619834710743802)], [(0.5037037037037037, 0.055871886120996445), (0.8063492063492064, 0.6170818505338078)], [(0.010052910052910053, 0.22137150466045272)]]"
03dc907932cecfc5,1336436263,387,"['14th_century', 'Time', 'Physics', 'Speed_of_light', 'Rainbow']",14th_century,Rainbow,"[[(247, 93)], [(66, 2306)], [(575, 612), (411, 870), (897, 1240)], [(1730, 2244)]]","[[(0.1306878306878307, 0.058161350844277676)], [(0.03492063492063492, 0.6770405167351732)], [(0.30423280423280424, 0.1515601783060921), (0.21746031746031746, 0.21545319465081725), (0.4746031746031746, 0.3070827142149579)], [(0.9153439153439153, 0.6415094339622641)]]"
